date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD,EUR,GBP,JPY,CNY
1/04/2003,GBR,GBP,Britain,1.99,0.632911392,3.144200002,0.27813,0.05475,0,0.44009,1.62969
1/04/2003,CAN,CAD,Canada,3.2,1.45,2.206896552,-0.10289,-0.25968,-0.29811,0.01079,0.84577
,,,,,,,,,,,
1/04/2003,CHN,CNY,China,9.9,8.28,1.195652174,-0.51396,-0.59891,-0.61973,-0.45237,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/04/2003,IDN,IDR,Indonesia,16100,8740,1.842105263,-0.25118,-0.38205,-0.41413,-0.15629,0.54067
1/04/2003,JPN,JPY,Japan,262,120,2.183333333,-0.11247,-0.26758,-0.3056,0,0.82606
,,,,,,,,,,,
1/04/2003,MEX,MXN,Mexico,23,10.53,2.184235518,-0.1121,-0.26728,-0.30531,0.00041,0.82682
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/04/2003,RUS,RUB,Russia,41,31.1,1.318327974,-0.46409,-0.55776,-0.58071,-0.39619,0.1026
,,,,,,,,,,,
1/04/2003,ZAF,ZAR,South Africa,13.95,7.56,1.845238095,-0.2499,-0.381,-0.41313,-0.15485,0.54329
1/04/2003,KOR,KRW,South Korea,3300,1220,2.704918033,0.09956,-0.09261,-0.13971,0.23889,1.2623
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/04/2003,TUR,TRY,Turkey,3750000,1600500,2.343017807,-0.04755,-0.21402,-0.25481,0.07314,0.95961
1/04/2003,USA,USD,United States,2.46,1,2.46,0,-0.17477,-0.21761,0.12672,1.05745
,,,,,,,,,,,
1/05/2004,ARG,ARS,Argentina,4.36,2.95,1.477966102,-0.40163,-0.5505,-0.56081,-0.36256,0.17669
1/05/2004,AUS,AUD,Australia,3.25,1.43,2.272727273,-0.07987,-0.30878,-0.32464,-0.01978,0.80944
1/05/2004,BRA,BRL,Brazil,5.4,3.18,1.698113208,-0.3125,-0.48354,-0.49539,-0.26761,0.35196
1/05/2004,GBR,GBP,Britain,1.88,0.558659218,3.365199999,0.36243,0.02348,0,0.4514,1.67922
1/05/2004,CAN,CAD,Canada,3.19,1.37,2.328467153,-0.0573,-0.29183,-0.30807,0.00426,0.85382
,,,,,,,,,,,
1/05/2004,CHN,CNY,China,10.4,8.28,1.256038647,-0.49148,-0.61799,-0.62676,-0.45827,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/05/2004,IDN,IDR,Indonesia,16100,9120,1.765350877,-0.28528,-0.46309,-0.47541,-0.23861,0.40549
1/05/2004,JPN,JPY,Japan,262,113,2.318584071,-0.0613,-0.29483,-0.31101,0,0.84595
,,,,,,,,,,,
1/05/2004,MEX,MXN,Mexico,24,11.6,2.068965517,-0.16236,-0.37075,-0.38519,-0.10766,0.64721
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/05/2004,RUS,RUB,Russia,42,29,1.448275862,-0.41365,-0.55953,-0.56963,-0.37536,0.15305
1/05/2004,SAU,SAR,Saudi Arabia,2.4,3.7502,0.639965868,-0.7409,-0.80536,-0.80983,-0.72398,-0.49049
,,,,,,,,,,,
1/05/2004,ZAF,ZAR,South Africa,12.4,6.66,1.861861862,-0.24621,-0.43374,-0.44673,-0.19698,0.48233
1/05/2004,KOR,KRW,South Korea,3200,1177,2.718776551,0.10072,-0.17312,-0.19209,0.1726,1.16456
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/05/2004,TUR,TRY,Turkey,3950000,1531000,2.580013063,0.04454,-0.21532,-0.23333,0.11275,1.05409
,,,,,,,,,,,
1/05/2004,USA,USD,United States,2.47,1,2.47,0,-0.24878,-0.26602,0.06531,0.9665
,,,,,,,,,,,
,,,,,,,,,,,
1/06/2005,ARG,ARS,Argentina,4.75,2.897,1.639627201,-0.36449,-0.5424,-0.52342,-0.30011,0.2924
1/06/2005,AUS,AUD,Australia,3.25,1.3015,2.497118709,-0.03212,-0.30309,-0.27418,0.06592,0.9683
1/06/2005,BRA,BRL,Brazil,5.9,2.4648,2.393703343,-0.07221,-0.33195,-0.30424,0.02178,0.88679
1/06/2005,GBR,GBP,Britain,1.88,0.546448087,3.440400003,0.33349,-0.03983,0,0.46857,1.71182
1/06/2005,CAN,CAD,Canada,3.28,1.2494,2.625260125,0.01754,-0.26733,-0.23693,0.12062,1.06931
,,,,,,,,,,,
1/06/2005,CHN,CNY,China,10.5,8.2764,1.268667537,-0.50827,-0.64593,-0.63124,-0.45846,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/06/2005,IDN,IDR,Indonesia,14600,9545,1.529596647,-0.40713,-0.57311,-0.5554,-0.34708,0.20567
1/06/2005,JPN,JPY,Japan,250,106.715,2.342688469,-0.09198,-0.34619,-0.31907,0,0.84657
,,,,,,,,,,,
1/06/2005,MEX,MXN,Mexico,28,10.8675,2.576489533,-0.00136,-0.28094,-0.25111,0.0998,1.03086
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/06/2005,RUS,RUB,Russia,42,28.4055,1.478586893,-0.4269,-0.58735,-0.57023,-0.36885,0.16546
1/06/2005,SAU,SAR,Saudi Arabia,9,3.7501,2.399936002,-0.06979,-0.33021,-0.30243,0.02444,0.8917
,,,,,,,,,,,
1/06/2005,ZAF,ZAR,South Africa,13.95,6.6482,2.098312325,-0.1867,-0.41439,-0.3901,-0.10431,0.65395
1/06/2005,KOR,KRW,South Korea,2500,1005.5,2.486325211,-0.03631,-0.3061,-0.27732,0.06131,0.95979
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/06/2005,TUR,TRY,Turkey,4,1.369,2.92184076,0.1325,-0.18456,-0.15073,0.24722,1.30308
,,,,,,,,,,,
,,,,,,,,,,,
1/06/2005,USA,USD,United States,2.58,1,2.58,0,-0.27996,-0.25009,0.1013,1.03363
,,,,,,,,,,,
,,,,,,,,,,,
1/01/2006,ARG,ARS,Argentina,4.75,3.0638,1.550362295,-0.41934,-0.55878,-0.53248,-0.29114,0.19069
1/01/2006,AUS,AUD,Australia,3.25,1.3308,2.442140066,-0.08534,-0.30499,-0.26356,0.1166,0.87559
1/01/2006,BRA,BRL,Brazil,6.2,2.2615,2.741543224,0.0268,-0.21978,-0.17327,0.25349,1.10553
1/01/2006,GBR,GBP,Britain,1.88,0.566925563,3.316131998,0.242,-0.05626,0,0.5162,1.54682
1/01/2006,CAN,CAD,Canada,3.52,1.1704,3.007518797,0.12641,-0.14409,-0.09306,0.3751,1.3098
,,,,,,,,,,,
1/01/2006,CHN,CNY,China,10.5,8.0641,1.302067187,-0.51233,-0.62944,-0.60735,-0.40467,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
