date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD,EUR,GBP,JPY,CNY
1/01/2012,HUN,HUF,Hungary,645,245.69425,2.625214062,-0.31097,-0.4075,-0.31338,-0.36896,0.07659
1/01/2012,IND,INR,India,84,51.905,1.6183412,-0.57524,-0.63474,-0.57673,-0.61099,-0.33632
1/01/2012,IDN,IDR,Indonesia,22534,9160,2.460043668,-0.35432,-0.44477,-0.35658,-0.40867,0.00886
1/01/2012,ISR,ILS,Israel,15.9,3.8485,4.131479797,0.08438,-0.06753,0.08058,-0.0069,0.69431
1/01/2012,JPN,JPY,Japan,320,76.92,4.160166407,0.09191,-0.06106,0.08808,0,0.70607
1/01/2012,MYS,MYR,Malaysia,7.35,3.13955,2.341099839,-0.38554,-0.47162,-0.38769,-0.43726,-0.03992
1/01/2012,MEX,MXN,Mexico,37,13.6844,2.703808716,-0.29034,-0.38976,-0.29283,-0.35007,0.10882
1/01/2012,NZL,NZD,New Zealand,5.1,1.26000126,4.047615,0.06237,-0.08646,0.05864,-0.02705,0.65992
1/01/2012,NOR,NOK,Norway,41,6.0399,6.788191857,0.78168,0.53208,0.77544,0.63171,1.78382
1/01/2012,PAK,PKR,Pakistan,260,90.05,2.887284842,-0.24218,-0.34835,-0.24484,-0.30597,0.18407
1/01/2012,PER,PEN,Peru,10,2.6925,3.714020427,-0.02519,-0.16175,-0.02861,-0.10724,0.52311
1/01/2012,PHL,PHP,Philippines,118,44.005,2.681513464,-0.29619,-0.39479,-0.29866,-0.35543,0.09968
1/01/2012,POL,PLN,Poland,9.1,3.52045,2.584896817,-0.32155,-0.41659,-0.32393,-0.37866,0.06006
1/01/2012,RUS,RUB,Russia,81,31.7693,2.549631248,-0.33081,-0.42455,-0.33315,-0.38713,0.0456
1/01/2012,SAU,SAR,Saudi Arabia,10,3.7502,2.666524452,-0.30012,-0.39817,-0.30258,-0.35903,0.09353
1/01/2012,SGP,SGD,Singapore,4.85,1.2928,3.75154703,-0.01534,-0.15328,-0.01879,-0.09822,0.5385
1/01/2012,ZAF,ZAR,South Africa,19.95,8.1304,2.453753813,-0.35597,-0.44619,-0.35823,-0.41018,0.00628
1/01/2012,KOR,KRW,South Korea,3700,1158.75,3.193096009,-0.16192,-0.27933,-0.16485,-0.23246,0.30948
1/01/2012,LKA,LKR,Sri Lanka,290,113.93,2.545422628,-0.33191,-0.4255,-0.33425,-0.38814,0.04387
1/01/2012,SWE,SEK,Sweden,41,6.9338,5.913063544,0.55199,0.33457,0.54655,0.42135,1.42493
1/01/2012,CHE,CHF,Switzerland,6.5,0.9551,6.805570097,0.78624,0.536,0.77998,0.63589,1.79095
1/01/2012,TWN,TWD,Taiwan,75,29.9795,2.501709501,-0.34338,-0.43537,-0.34568,-0.39865,0.02594
1/01/2012,THA,THB,Thailand,78,31.75,2.456692913,-0.3552,-0.44553,-0.35746,-0.40947,0.00748
1/01/2012,TUR,TRY,Turkey,6.6,1.86295,3.54276819,-0.07014,-0.20041,-0.0734,-0.14841,0.45288
1/01/2012,ARE,AED,UAE,12,3.673,3.267084127,-0.1425,-0.26263,-0.1455,-0.21467,0.33982
1/01/2012,UKR,UAH,Ukraine,17,8.0405,2.114296375,-0.44507,-0.52281,-0.44701,-0.49178,-0.13293
1/01/2012,USA,USD,United States,3.81,1,3.81,0,-0.14009,-0.0035,-0.08417,0.56247
1/01/2012,URY,UYU,Uruguay,90,19.45,4.627249357,0.2145,0.04436,0.21025,0.11228,0.89762
1/01/2012,VEN,VEF,Venezuela,30,4.29465,6.985435367,0.83345,0.5766,0.82702,0.67912,1.86471
1/07/2012,ARG,ARS,Argentina,19,4.56625,4.160963592,0.05075,-0.04223,-0.00034,0.0171,0.69855
1/07/2012,AUS,AUD,Australia,4.56,0.974326497,4.680155999,0.18186,0.07728,0.1244,0.14401,0.91049
1/07/2012,BRA,BRL,Brazil,10.08,2.04215,4.935974341,0.24646,0.13616,0.18586,0.20654,1.01492
1/07/2012,GBR,GBP,Britain,2.69,0.646266197,4.1623715,0.0511,-0.04191,0,0.01744,0.69913
1/07/2012,CAN,CAD,Canada,5.12,1.01945,5.022315955,0.26826,0.15603,0.2066,0.22764,1.05016
1/07/2012,CHL,CLP,Chile,2050,493.05,4.157793327,0.04995,-0.04296,-0.0011,0.01632,0.69726
1/07/2012,CHN,CNY,China,15.65,6.3885,2.44971433,-0.38139,-0.43613,-0.41146,-0.4012,0
1/07/2012,COL,COP,Colombia,8600,1804.475,4.765929148,0.20352,0.09702,0.145,0.16497,0.9455
1/07/2012,CZE,CZK,Czech Republic,70.33,21.048,3.34141011,-0.15621,-0.23088,-0.19723,-0.18323,0.364
1/07/2012,DNK,DKK,Denmark,28.5,6.1356,4.645022492,0.17299,0.06919,0.11596,0.13542,0.89615
1/07/2012,EGY,EGP,Egypt,16,6.0665,2.637435094,-0.33398,-0.39292,-0.36636,-0.35531,0.07663
1/07/2012,EUZ,EUR,Euro area,3.583482241,0.824844311,4.344434693,0.09708,0,0.04374,0.06194,0.77345
1/07/2012,HKG,HKD,Hong Kong,16.5,7.75815,2.126795692,-0.46293,-0.51046,-0.48904,-0.48013,-0.13182
1/07/2012,HUN,HUF,Hungary,830,238.2151,3.484245961,-0.12014,-0.198,-0.16292,-0.14832,0.42231
1/07/2012,IND,INR,India,89,56.165,1.584616754,-0.59984,-0.63525,-0.6193,-0.61266,-0.35314
1/07/2012,IDN,IDR,Indonesia,24200,9482.5,2.552069602,-0.35554,-0.41257,-0.38687,-0.37618,0.04178
1/07/2012,ISR,ILS,Israel,11.9,4.07625,2.919349893,-0.26279,-0.32803,-0.29863,-0.2864,0.19171
1/07/2012,JPN,JPY,Japan,320,78.22,4.091025313,0.03309,-0.05833,-0.01714,0,0.67
1/07/2012,MYS,MYR,Malaysia,7.4,3.1735,2.331810304,-0.41116,-0.46326,-0.43979,-0.43002,-0.04813
1/07/2012,MEX,MXN,Mexico,37,13.687,2.703295098,-0.31735,-0.37776,-0.35054,-0.33921,0.10351
1/07/2012,NZL,NZD,New Zealand,5.1,1.273560876,4.004520001,0.01124,-0.07824,-0.03792,-0.02115,0.63469
1/07/2012,NOR,NOK,Norway,43,6.09205,7.058379363,0.78242,0.62469,0.69576,0.72533,1.88131
1/07/2012,PAK,PKR,Pakistan,285,94.605,3.012525765,-0.23926,-0.30658,-0.27625,-0.26363,0.22975
1/07/2012,PHL,PHP,Philippines,118,42.2,2.796208531,-0.29389,-0.35637,-0.32822,-0.3165,0.14144
1/07/2012,POL,PLN,Poland,9.1,3.46035,2.629791784,-0.33591,-0.39468,-0.3682,-0.35718,0.07351
1/07/2012,RUS,RUB,Russia,75,32.76525,2.289010461,-0.42197,-0.47312,-0.45007,-0.44048,-0.0656
1/07/2012,SAU,SAR,Saudi Arabia,10,3.75025,2.666488901,-0.32664,-0.38623,-0.35938,-0.34821,0.08849
1/07/2012,SGP,SGD,Singapore,4.4,1.2585,3.496225665,-0.11711,-0.19524,-0.16004,-0.14539,0.4272
1/07/2012,ZAF,ZAR,South Africa,19.95,8.4683,2.355844739,-0.40509,-0.45773,-0.43401,-0.42414,-0.03832
1/07/2012,KOR,KRW,South Korea,3700,1151,3.214596003,-0.18823,-0.26007,-0.2277,-0.21423,0.31223
1/07/2012,LKA,LKR,Sri Lanka,290,131,2.213740458,-0.44097,-0.49044,-0.46815,-0.45888,-0.09633
1/07/2012,SWE,SEK,Sweden,39.97301987,6.9777,5.728681352,0.44664,0.31863,0.3763,0.4003,1.33851
1/07/2012,CHE,CHF,Switzerland,6.5,0.9906,6.56167979,0.65699,0.51036,0.57643,0.60392,1.67855
1/07/2012,TWN,TWD,Taiwan,75,30.1955,2.483813813,-0.37277,-0.42828,-0.40327,-0.39286,0.01392
1/07/2012,THA,THB,Thailand,82,31.7,2.586750789,-0.34678,-0.40458,-0.37854,-0.3677,0.05594
1/07/2012,TUR,TRY,Turkey,8.25,1.8269,4.515846516,0.14037,0.03946,0.08492,0.10384,0.84342
1/07/2012,ARE,AED,UAE,12,3.67295,3.267128602,-0.17497,-0.24797,-0.21508,-0.20139,0.33368
1/07/2012,UKR,UAH,Ukraine,15,8.0855,1.85517284,-0.53152,-0.57298,-0.5543,-0.54653,-0.2427
1/07/2012,USA,USD,United States,3.96,1,3.96,0,-0.08849,-0.04862,-0.03203,0.61652
1/07/2012,URY,UYU,Uruguay,99,21.87,4.526748971,0.14312,0.04197,0.08754,0.10651,0.84787
1/07/2012,VEN,VEF,Venezuela,34,4.29465,7.91682675,0.9992,0.82229,0.902,0.93517,2.23173
1/01/2013,ARG,ARS,Argentina,19,4.9765,3.817944338,-0.05262,-0.21732,-0.10128,0.0865,0.48432
1/01/2013,AUS,AUD,Australia,4.7,0.959094615,4.900454998,0.21599,0.0046,0.15354,0.39456,0.90517
1/01/2013,BRA,BRL,Brazil,11.25,1.99335,5.64376552,0.40044,0.15698,0.32851,0.60609,1.19415
1/01/2013,GBR,GBP,Britain,2.69,0.633211968,4.248182498,0.05414,-0.12912,0,0.20894,0.65159
1/01/2013,CAN,CAD,Canada,5.41,1.0029,5.394356367,0.33855,0.10585,0.2698,0.53512,1.09719
1/01/2013,CHL,CLP,Chile,2050,471.75,4.345521993,0.07829,-0.10916,0.02291,0.23664,0.68943
1/01/2013,CHN,CNY,China,16,6.2204,2.572181853,-0.36174,-0.4727,-0.39452,-0.26801,0
1/01/2013,COL,COP,Colombia,8600,1773.175,4.850057101,0.20349,-0.00573,0.14168,0.38022,0.88558
1/01/2013,CRI,CRC,Costa Rica,2200,500.83,4.392708105,0.09,-0.09949,0.03402,0.25007,0.70778
1/01/2013,CZE,CZK,Czech Republic,70.33,18.89495,3.722158566,-0.07639,-0.23695,-0.12382,0.05924,0.44708
1/01/2013,DNK,DKK,Denmark,28.5,5.49795,5.183750307,0.28629,0.06267,0.22023,0.47518,1.01531
1/01/2013,EGY,EGP,Egypt,16,6.68575,2.393149609,-0.40617,-0.5094,-0.43667,-0.31896,-0.0696
1/01/2013,EUZ,EUR,Euro area,3.594849572,0.736946829,4.878031129,0.21043,0,0.14826,0.38818,0.89646
1/01/2013,HKG,HKD,Hong Kong,17,7.7591,2.190975757,-0.45633,-0.55085,-0.48426,-0.3765,-0.1482
1/01/2013,HUN,HUF,Hungary,830,217.46935,3.816629792,-0.05295,-0.21759,-0.10159,0.08613,0.48381
1/01/2013,IND,INR,India,89,53.395,1.666822736,-0.5864,-0.6583,-0.60764,-0.52566,-0.35198
1/01/2013,IDN,IDR,Indonesia,27939,9767.5,2.860404402,-0.29022,-0.41361,-0.32668,-0.18599,0.11205
1/01/2013,ISR,ILS,Israel,14.9,3.72455,4.00048328,-0.00732,-0.1799,-0.05831,0.13845,0.55529
1/01/2013,JPN,JPY,Japan,320,91.065,3.513973535,-0.12805,-0.27963,-0.17283,0,0.36615
1/01/2013,MYS,MYR,Malaysia,7.95,3.083,2.578657152,-0.36013,-0.47137,-0.393,-0.26617,0.00252
1/01/2013,MEX,MXN,Mexico,37,12.7384,2.904603404,-0.27925,-0.40455,-0.31627,-0.17341,0.12924
1/01/2013,NZL,NZD,New Zealand,5.2,1.202428906,4.324580001,0.0731,-0.11346,0.01798,0.23068,0.68129
1/01/2013,NOR,NOK,Norway,43,5.4831,7.842279003,0.94597,0.60767,0.84603,1.23174,2.04888
1/01/2013,PAK,PKR,Pakistan,290,97.665,2.969333948,-0.26319,-0.39128,-0.30103,-0.15499,0.1544
1/01/2013,PER,PEN,Peru,10,2.5595,3.907013088,-0.03052,-0.19906,-0.08031,0.11185,0.51895
1/01/2013,PHL,PHP,Philippines,118,40.6,2.906403941,-0.27881,-0.40419,-0.31585,-0.1729,0.12994
1/01/2013,POL,PLN,Poland,9.1,3.092,2.943078913,-0.26971,-0.39667,-0.30721,-0.16246,0.1442
1/01/2013,RUS,RUB,Russia,72.88,30.045,2.425694791,-0.39809,-0.50273,-0.429,-0.3097,-0.05695
1/01/2013,SAU,SAR,Saudi Arabia,11,3.7502,2.933176897,-0.27216,-0.3987,-0.30955,-0.16528,0.14035
1/01/2013,SGP,SGD,Singapore,4.5,1.23485,3.644167308,-0.09574,-0.25294,-0.14218,0.03705,0.41676
1/01/2013,ZAF,ZAR,South Africa,20.9,9.047,2.310158063,-0.42676,-0.52642,-0.4562,-0.34258,-0.10187
1/01/2013,KOR,KRW,South Korea,3700,1085.475,3.408645984,-0.15418,-0.30123,-0.19762,-0.02997,0.3252
1/01/2013,LKA,LKR,Sri Lanka,350,126.45,2.767892448,-0.31318,-0.43258,-0.34845,-0.21232,0.07609
1/01/2013,SWE,SEK,Sweden,40.55930138,6.3492,6.388096355,0.58514,0.30956,0.50372,0.81791,1.48353
1/01/2013,CHE,CHF,Switzerland,6.5,0.9123,7.124849282,0.76795,0.4606,0.67715,1.02758,1.76996
1/01/2013,TWN,TWD,Taiwan,75,29.502,2.542200529,-0.36918,-0.47885,-0.40158,-0.27655,-0.01166
1/01/2013,THA,THB,Thailand,87,29.755,2.92387834,-0.27447,-0.4006,-0.31173,-0.16793,0.13673
1/01/2013,TUR,TRY,Turkey,8.45,1.76875,4.777385159,0.18546,-0.02063,0.12457,0.35954,0.85733
1/01/2013,ARE,AED,UAE,12,3.67305,3.267039654,-0.18932,-0.33025,-0.23096,-0.07027,0.27014
1/01/2013,UKR,UAH,Ukraine,19,8.144,2.333005894,-0.42109,-0.52173,-0.45082,-0.33608,-0.09299
1/01/2013,USA,USD,United States,4.03,1,4.03,0,-0.17385,-0.05136,0.14685,0.56676
1/01/2013,URY,UYU,Uruguay,105,19.28,5.446058091,0.35138,0.11645,0.28197,0.54983,1.11729
1/01/2013,VEN,VEF,Venezuela,39,4.29465,9.081065977,1.25337,0.86163,1.13764,1.58427,2.53049
1/07/2013,ARG,ARS,Argentina,21,5.4125,3.879907621,-0.07179,-0.16729,-0.03487,0.21374,0.48748
1/07/2013,AUS,AUD,Australia,5.035,1.089858863,4.619864251,0.10523,-0.00848,0.1492,0.44522,0.77117
1/07/2013,BRA,BRL,Brazil,12,2.27065,5.284830335,0.26431,0.13423,0.31461,0.65324,1.0261
1/07/2013,GBR,GBP,Britain,2.69,0.669142494,4.020070499,-0.03826,-0.13721,0,0.25759,0.54122
1/07/2013,CAN,CAD,Canada,5.53,1.05125,5.260404281,0.25847,0.12899,0.30854,0.6456,1.01674
1/07/2013,CHL,CLP,Chile,2000,508.155,3.935806988,-0.05842,-0.1553,-0.02096,0.23123,0.50891
